"","x"
"1",-0.4
"2",-0.37
"3",-0.43
"4",-0.47
"5",-0.72
"6",-0.54
"7",-0.47
"8",-0.54
"9",-0.39
"10",-0.19
"11",-0.4
"12",-0.44
"13",-0.44
"14",-0.49
"15",-0.38
"16",-0.41
"17",-0.27
"18",-0.18
"19",-0.38
"20",-0.22
"21",-0.03
"22",-0.09
"23",-0.28
"24",-0.36
"25",-0.49
"26",-0.25
"27",-0.17
"28",-0.45
"29",-0.32
"30",-0.33
"31",-0.32
"32",-0.29
"33",-0.32
"34",-0.25
"35",-0.05
"36",-0.01
"37",-0.26
"38",-0.48
"39",-0.37
"40",-0.2
"41",-0.15
"42",-0.08
"43",-0.14
"44",-0.13
"45",-0.12
"46",-0.1
"47",0.13
"48",-0.01
"49",0.06
"50",-0.17
"51",-0.01
"52",0.09
"53",0.05
"54",-0.16
"55",0.05
"56",-0.02
"57",0.04
"58",0.17
"59",0.19
"60",0.05
"61",0.15
"62",0.13
"63",0.09
"64",0.04
"65",0.11
"66",-0.03
"67",0.03
"68",0.15
"69",0.04
"70",-0.02
"71",-0.13
"72",0.02
"73",0.07
"74",0.2
"75",-0.03
"76",-0.07
"77",-0.19
"78",0.09
"79",0.11
"80",0.06
"81",0.01
"82",0.08
"83",0.02
"84",0.02
"85",-0.27
"86",-0.18
"87",-0.09
"88",-0.02
"89",-0.13
"90",0.02
"91",0.03
"92",-0.12
"93",-0.08
"94",0.17
"95",-0.09
"96",-0.04
"97",-0.24
"98",-0.16
"99",-0.09
"100",0.12
"101",0.27
"102",0.42
"103",0.02
"104",0.3
"105",0.09
"106",0.05
